disease_area,disease,phase,outcome_normalized,outcome_trial_count,phase_trial_count,percentage,outcome_position
Disorder of endocrine system,Acromegaly,Phase 2,CHANGE IN BODY MASS INDEX,3,24,12.5000,0
Disorder of endocrine system,Acromegaly,Phase 2,CHANGE FROM BASELINE IN ANNUALIZED GROWTH VELOCITY,2,24,8.3333,1
Disorder of endocrine system,Acromegaly,Phase 2,CHANGE FROM BASELINE IN HEIGHT,2,24,8.3333,2
Disorder of endocrine system,Acromegaly,Phase 2,CHANGE FROM BASELINE IN LOWER FACIAL VOLUME,2,24,8.3333,3
Disorder of endocrine system,Acromegaly,Phase 2,CHANGE FROM BASELINE IN RESPIRATORY RATE,2,24,8.3333,4
Disorder of endocrine system,Acromegaly,Phase 2,CHANGE FROM BASELINE IN SERUM IGF-1,2,24,8.3333,5
Disorder of endocrine system,Acromegaly,Phase 2,CHANGE IN BONE MINERAL DENSITY,2,24,8.3333,7
Disorder of endocrine system,Acromegaly,Phase 3,CHANGE IN ACROQOL SCORE,2,16,12.5000,6
Disorder of endocrine system,Acromegaly,Phase 3,CHANGE IN TUMOR SIZE,2,16,12.5000,8
Disorder of endocrine system,Acromegaly,Phase 3,CHANGE IN TUMOR VOLUME,2,16,12.5000,9
Disorder of endocrine system,Acromegaly,Phase 3,DURATION OF RESPONSE,2,16,12.5000,10
Disorder of endocrine system,Acromegaly,Phase 3,PASIREOTIDE TROUGH CONCENTRATIONS,2,16,12.5000,11
Disorder of endocrine system,Acromegaly,Phase 3,PERCENTAGE OF PARTICIPANTS ACHIEVING BIOCHEMICAL CONTROL,2,16,12.5000,12
Disorder of endocrine system,Acromegaly,Phase 3,PERCENTAGE OF PARTICIPANTS WITH NORMALIZATION OF IGF-1,2,16,12.5000,13
Disorder of endocrine system,Acromegaly,Phase 4,PLASMA DRUG CONCENTRATION,2,9,22.2222,14
Disorder of endocrine system,Acromegaly,Phase 4,AVERAGE TIME FROM END OF SURGERY TO LEAVING THE OPERATING ROOM,1,9,11.1111,15
Disorder of endocrine system,Acromegaly,Phase 4,AVERAGE TIME TO DISCHARGE,1,9,11.1111,16
Disorder of endocrine system,Acromegaly,Phase 4,CHANGE IN C-REACTIVE PROTEIN LEVELS,1,9,11.1111,17
Disorder of endocrine system,Acromegaly,Phase 4,CHANGE IN LIPID LEVELS,1,9,11.1111,18
Disorder of endocrine system,Acromegaly,Phase 4,CHANGE IN PLATELET COUNT,1,9,11.1111,19
Disorder of endocrine system,Acromegaly,Phase 4,CHANGE IN PROTHROMBIN TIME AND PARTIAL THROMBOPLASTIN TIME,1,9,11.1111,20
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,ACCEPTABILITY OF ACTIGRAPHY,1,5,20.0000,11
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,ACCEPTABILITY OF DAILY DIARY SURVEYS,1,5,20.0000,12
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,CARDIAC ANXIETY SCORE,1,5,20.0000,22
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,CHANGE IN TRAIT MINDFULNESS SCORE,1,5,20.0000,23
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,COGNITIVE DE-CENTERING SCORE,1,5,20.0000,24
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,DAY TO RETURN TO BASELINE PLATELET FUNCTION,1,5,20.0000,25
Cardiovascular disease,Acute Coronary Syndrome,Phase 1,DISTRESS TOLERANCE SCORE,1,5,20.0000,26
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,CHANGE IN BNP,2,24,8.3333,5
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,CHANGE IN TOTAL EXERCISE TIME,2,24,8.3333,7
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,COMPOSITE CARDIOVASCULAR EVENTS,2,24,8.3333,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,P2Y12 REACTION UNITS,2,24,8.3333,9
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,ACTIVATED CLOTTING TIME,1,24,4.1667,13
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,ADP-INDUCED P2Y12 RECEPTOR-MEDIATED PLATELET AGGREGATION,1,24,4.1667,14
Cardiovascular disease,Acute Coronary Syndrome,Phase 2,ADP-INDUCED PLATELET AGGREGATION,1,24,4.1667,15
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,ALL-CAUSE MORTALITY,5,28,17.8571,1
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,COMPOSITE CARDIOVASCULAR EVENTS,4,28,14.2857,0
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,CARDIOVASCULAR MORTALITY,3,28,10.7143,2
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,NUMBER OF PARTICIPANTS WITH FIRST OCCURRENCE OF STROKE,3,28,10.7143,3
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,7-DAY POINT PREVALENCE SMOKING ABSTINENCE,2,28,7.1429,4
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,CHANGE IN TOTAL ATHEROMA VOLUME,2,28,7.1429,6
Cardiovascular disease,Acute Coronary Syndrome,Phase 3,COMPOSITE CARDIOVASCULAR ENDPOINT,2,28,7.1429,8
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,6-MINUTE WALK DISTANCE,1,27,3.7037,10
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,ADVERSE ISCHEMIC OR BLEEDING EVENTS,1,27,3.7037,16
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,AGREEMENT PERCENTAGE BETWEEN AFFR AND CFFR,1,27,3.7037,17
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,AVERAGE WEEKLY ANGINA FREQUENCY,1,27,3.7037,18
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,AVERAGE WEEKLY FREQUENCY OF SUBLINGUAL NITROGLYCERIN USE,1,27,3.7037,19
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,BLEEDING EVENTS,1,27,3.7037,20
Cardiovascular disease,Acute Coronary Syndrome,Phase 4,BLOOD THROMBOGENICITY,1,27,3.7037,21
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,MAXIMUM PLASMA CONCENTRATION,18,26,69.2308,0
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,TIME TO MAXIMUM CONCENTRATION,12,26,46.1538,2
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,AUC FROM 0 TO INFINITY,10,26,38.4615,1
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,RENAL CLEARANCE,9,26,34.6154,4
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,APPARENT VOLUME OF DISTRIBUTION,8,26,30.7692,3
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,8,26,30.7692,5
Disorder of the genitourinary system,Acute Kidney Injury,Phase 1,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,7,26,26.9231,6
Disorder of the genitourinary system,Acute Kidney Injury,Phase 2,AUC FROM 0 TO INFINITY,4,16,25.0000,1
Disorder of the genitourinary system,Acute Kidney Injury,Phase 2,MAXIMUM PLASMA CONCENTRATION,4,16,25.0000,0
Disorder of the genitourinary system,Acute Kidney Injury,Phase 2,TIME TO MAXIMUM CONCENTRATION,3,16,18.7500,2
Disorder of the genitourinary system,Acute Kidney Injury,Phase 2,APPARENT VOLUME OF DISTRIBUTION,2,16,12.5000,3
Disorder of the genitourinary system,Acute Kidney Injury,Phase 2,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,2,16,12.5000,9
Disorder of the genitourinary system,Acute Kidney Injury,Phase 2,CHANGE IN EGFR,2,16,12.5000,7
Disorder of the genitourinary system,Acute Kidney Injury,Phase 2,DURATION OF AKI,2,16,12.5000,10
Disorder of the genitourinary system,Acute Kidney Injury,Phase 3,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2,10,20.0000,11
Disorder of the genitourinary system,Acute Kidney Injury,Phase 3,VENTILATOR-FREE DAYS,2,10,20.0000,12
Disorder of the genitourinary system,Acute Kidney Injury,Phase 3,28-DAY ALL-CAUSE MORTALITY,1,10,10.0000,13
Disorder of the genitourinary system,Acute Kidney Injury,Phase 3,60-DAY ALL-CAUSE MORTALITY,1,10,10.0000,15
Disorder of the genitourinary system,Acute Kidney Injury,Phase 3,90-DAY ALL CAUSE MORTALITY,1,10,10.0000,16
Disorder of the genitourinary system,Acute Kidney Injury,Phase 3,ACUTE KIDNEY INJURY,1,10,10.0000,17
Disorder of the genitourinary system,Acute Kidney Injury,Phase 3,CHANGE IN EXTRAVASCULAR LUNG WATER,1,10,10.0000,20
Disorder of the genitourinary system,Acute Kidney Injury,Phase 4,30-DAY MORTALITY,2,9,22.2222,8
Disorder of the genitourinary system,Acute Kidney Injury,Phase 4,30-DAY READMISSION,1,9,11.1111,14
Disorder of the genitourinary system,Acute Kidney Injury,Phase 4,AE24 FOR URINE DEFERIPRONE AND DEFERIPRONE 3-O-GLUCURONIDE,1,9,11.1111,18
Disorder of the genitourinary system,Acute Kidney Injury,Phase 4,AUC FROM 0 TO INFINITY,1,9,11.1111,1
Disorder of the genitourinary system,Acute Kidney Injury,Phase 4,BLEEDING AFTER KIDNEY BIOPSY,1,9,11.1111,19
Disorder of the genitourinary system,Acute Kidney Injury,Phase 4,CHANGE IN EGFR,1,9,11.1111,7
Disorder of the genitourinary system,Acute Kidney Injury,Phase 4,CHANGE IN HEMOGLOBIN,1,9,11.1111,21
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 1,OBJECTIVE RESPONSE RATE,13,38,34.2105,1
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 1,MAXIMUM TOLERATED DOSE,12,38,31.5789,7
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 1,MAXIMUM PLASMA CONCENTRATION,10,38,26.3158,8
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 1,PROGRESSION-FREE SURVIVAL,7,38,18.4211,2
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 1,TIME TO MAXIMUM CONCENTRATION,7,38,18.4211,10
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,6,38,15.7895,11
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 1,NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,6,38,15.7895,12
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 2,OVERALL SURVIVAL,72,181,39.7790,0
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 2,OBJECTIVE RESPONSE RATE,67,181,37.0166,1
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 2,PROGRESSION-FREE SURVIVAL,53,181,29.2818,2
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 2,EVENT-FREE SURVIVAL,22,181,12.1547,3
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 2,COMPLETE REMISSION,19,181,10.4972,5
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 2,DURATION OF RESPONSE,18,181,9.9448,6
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 2,DISEASE-FREE SURVIVAL,17,181,9.3923,4
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 3,OVERALL SURVIVAL,27,44,61.3636,0
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 3,EVENT-FREE SURVIVAL,15,44,34.0909,3
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 3,PROGRESSION-FREE SURVIVAL,8,44,18.1818,2
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 3,MINIMAL RESIDUAL DISEASE NEGATIVITY,7,44,15.9091,9
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 3,DISEASE-FREE SURVIVAL,6,44,13.6364,4
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 3,TREATMENT-RELATED MORTALITY,6,44,13.6364,13
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 3,RELAPSE-FREE SURVIVAL,5,44,11.3636,14
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 4,BASELINE ANTIBODY TITER,1,8,12.5000,15
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 4,BASELINE VARICELLA TITERS,1,8,12.5000,16
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 4,BEST WEEKLY CPRS ADHD T SCORE,1,8,12.5000,17
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 4,BRAIN WHITE MATTER VOLUME,1,8,12.5000,18
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 4,CHANGE IN COMMISSION ERRORS,1,8,12.5000,19
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 4,CHANGE IN CONNER'S CPT SCORE,1,8,12.5000,20
Neoplastic disease,Acute Lymphoblastic Leukemia,Phase 4,CHANGE IN CPRS COGNITIVE PROBLEM T SCORE,1,8,12.5000,21
Neoplastic disease,Acute Myeloid Leukemia,Phase 1,OBJECTIVE RESPONSE RATE,13,34,38.2353,2
Neoplastic disease,Acute Myeloid Leukemia,Phase 1,MAXIMUM PLASMA CONCENTRATION,10,34,29.4118,8
Neoplastic disease,Acute Myeloid Leukemia,Phase 1,TIME TO MAXIMUM CONCENTRATION,10,34,29.4118,9
Neoplastic disease,Acute Myeloid Leukemia,Phase 1,OVERALL SURVIVAL,9,34,26.4706,0
Neoplastic disease,Acute Myeloid Leukemia,Phase 1,COMPLETE REMISSION,7,34,20.5882,3
Neoplastic disease,Acute Myeloid Leukemia,Phase 1,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,7,34,20.5882,7
Neoplastic disease,Acute Myeloid Leukemia,Phase 1,MAXIMUM TOLERATED DOSE,5,34,14.7059,11
Neoplastic disease,Acute Myeloid Leukemia,Phase 2,OVERALL SURVIVAL,73,178,41.0112,0
Neoplastic disease,Acute Myeloid Leukemia,Phase 2,OBJECTIVE RESPONSE RATE,28,178,15.7303,2
Neoplastic disease,Acute Myeloid Leukemia,Phase 2,EVENT-FREE SURVIVAL,23,178,12.9213,1
Neoplastic disease,Acute Myeloid Leukemia,Phase 2,PROGRESSION-FREE SURVIVAL,21,178,11.7978,4
Neoplastic disease,Acute Myeloid Leukemia,Phase 2,DISEASE-FREE SURVIVAL,19,178,10.6742,5
Neoplastic disease,Acute Myeloid Leukemia,Phase 2,COMPLETE REMISSION,18,178,10.1124,3
Neoplastic disease,Acute Myeloid Leukemia,Phase 2,COMPLETE RESPONSE RATE,17,178,9.5506,6
Neoplastic disease,Acute Myeloid Leukemia,Phase 3,OVERALL SURVIVAL,27,42,64.2857,0
Neoplastic disease,Acute Myeloid Leukemia,Phase 3,EVENT-FREE SURVIVAL,24,42,57.1429,1
Neoplastic disease,Acute Myeloid Leukemia,Phase 3,COMPLETE REMISSION,13,42,30.9524,3
Neoplastic disease,Acute Myeloid Leukemia,Phase 3,DURATION OF REMISSION,5,42,11.9048,10
Neoplastic disease,Acute Myeloid Leukemia,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,5,42,11.9048,12
Neoplastic disease,Acute Myeloid Leukemia,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,5,42,11.9048,7
Neoplastic disease,Acute Myeloid Leukemia,Phase 3,COMPLETE REMISSION RATE,4,42,9.5238,13
Neoplastic disease,Acute Myeloid Leukemia,Phase 4,INCIDENCE OF INVASIVE FUNGAL INFECTIONS,1,1,100.0000,14
Neoplastic disease,Acute Myeloid Leukemia,Phase 4,NUMBER OF DAYS ON STUDY DRUG,1,1,100.0000,15
Neoplastic disease,Acute Myeloid Leukemia,Phase 4,OVERALL SURVIVAL,1,1,100.0000,0
Neoplastic disease,Acute Myeloid Leukemia,Phase 4,PROPHYLAXIS FAILURE,1,1,100.0000,16
Neoplastic disease,Acute Myeloid Leukemia,Phase 4,TIME TO TREATMENT FAILURE,1,1,100.0000,17
Clinical finding,Acute Pain,Phase 1,AUC FROM 0 TO INFINITY,8,26,30.7692,12
Clinical finding,Acute Pain,Phase 1,MAXIMUM PLASMA CONCENTRATION,8,26,30.7692,8
Clinical finding,Acute Pain,Phase 1,TIME TO MAXIMUM CONCENTRATION,8,26,30.7692,13
Clinical finding,Acute Pain,Phase 1,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,4,26,15.3846,15
Clinical finding,Acute Pain,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE,3,26,11.5385,16
Clinical finding,Acute Pain,Phase 1,ELIMINATION RATE CONSTANT,3,26,11.5385,17
Clinical finding,Acute Pain,Phase 1,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,3,26,11.5385,9
Clinical finding,Acute Pain,Phase 2,CHANGE IN NRS PAIN SCORE,10,141,7.0922,2
Clinical finding,Acute Pain,Phase 2,CHANGE IN PAIN SCORE,10,141,7.0922,0
Clinical finding,Acute Pain,Phase 2,CHANGE IN VAS PAIN SCORE,8,141,5.6738,1
Clinical finding,Acute Pain,Phase 2,MAXIMUM PLASMA CONCENTRATION,8,141,5.6738,8
Clinical finding,Acute Pain,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,8,141,5.6738,4
Clinical finding,Acute Pain,Phase 2,PAIN RESPONSE RATE,7,141,4.9645,5
Clinical finding,Acute Pain,Phase 2,TIME TO FIRST USE OF RESCUE MEDICATION,7,141,4.9645,14
Clinical finding,Acute Pain,Phase 3,CHANGE IN PAIN SCORE,26,204,12.7451,0
Clinical finding,Acute Pain,Phase 3,CHANGE IN NRS PAIN SCORE,25,204,12.2549,2
Clinical finding,Acute Pain,Phase 3,PATIENT GLOBAL IMPRESSION OF CHANGE,19,204,9.3137,7
Clinical finding,Acute Pain,Phase 3,CHANGE IN VAS PAIN SCORE,18,204,8.8235,1
Clinical finding,Acute Pain,Phase 3,PAIN RESPONSE RATE,17,204,8.3333,5
Clinical finding,Acute Pain,Phase 3,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,16,204,7.8431,4
Clinical finding,Acute Pain,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,13,204,6.3725,9
Clinical finding,Acute Pain,Phase 4,CHANGE IN VAS PAIN SCORE,35,299,11.7057,1
Clinical finding,Acute Pain,Phase 4,PATIENT SATISFACTION,32,299,10.7023,3
Clinical finding,Acute Pain,Phase 4,CHANGE IN PAIN SCORE,25,299,8.3612,0
Clinical finding,Acute Pain,Phase 4,CHANGE IN NRS PAIN SCORE,23,299,7.6923,2
Clinical finding,Acute Pain,Phase 4,PAIN SCORE,21,299,7.0234,6
Clinical finding,Acute Pain,Phase 4,OPIOID CONSUMPTION,15,299,5.0167,10
Clinical finding,Acute Pain,Phase 4,LENGTH OF HOSPITAL STAY,14,299,4.6823,11
Disorder of digestive system,Acute Pancreatitis,Phase 1,MAXIMUM PLASMA CONCENTRATION,2,4,50.0000,1
Disorder of digestive system,Acute Pancreatitis,Phase 1,SERORESPONSE RATE,2,4,50.0000,15
Disorder of digestive system,Acute Pancreatitis,Phase 1,TIME TO MAXIMUM CONCENTRATION,2,4,50.0000,18
Disorder of digestive system,Acute Pancreatitis,Phase 1,APPARENT TERMINAL HALF LIFE,1,4,25.0000,21
Disorder of digestive system,Acute Pancreatitis,Phase 1,AREA UNDER THE CONCENTRATION-TIME CURVE (AUC0-INF),1,4,25.0000,22
Disorder of digestive system,Acute Pancreatitis,Phase 1,AUC FROM 0 TO INFINITY,1,4,25.0000,24
Disorder of digestive system,Acute Pancreatitis,Phase 1,AUC[0-T] FOR GSK3335065,1,4,25.0000,25
Disorder of digestive system,Acute Pancreatitis,Phase 2,CHANGE IN PAIN SCORE,3,29,10.3448,0
Disorder of digestive system,Acute Pancreatitis,Phase 2,PLASMA DRUG CONCENTRATION,3,29,10.3448,3
Disorder of digestive system,Acute Pancreatitis,Phase 2,CHANGE IN CTSI SCORE,2,29,6.8966,6
Disorder of digestive system,Acute Pancreatitis,Phase 2,CHANGE IN NRS PAIN SCORE,2,29,6.8966,7
Disorder of digestive system,Acute Pancreatitis,Phase 2,CLINICAL REMISSION,2,29,6.8966,8
Disorder of digestive system,Acute Pancreatitis,Phase 2,LENGTH OF HOSPITAL STAY,2,29,6.8966,12
Disorder of digestive system,Acute Pancreatitis,Phase 2,MAXIMUM PLASMA CONCENTRATION,2,29,6.8966,1
Disorder of digestive system,Acute Pancreatitis,Phase 3,OVERALL SURVIVAL,4,19,21.0526,2
Disorder of digestive system,Acute Pancreatitis,Phase 3,ALL-CAUSE MORTALITY,2,19,10.5263,4
Disorder of digestive system,Acute Pancreatitis,Phase 3,NUMBER OF SURVIVORS AT STUDY DAY 91,2,19,10.5263,13
Disorder of digestive system,Acute Pancreatitis,Phase 3,SEROCONVERSION RATE,2,19,10.5263,14
Disorder of digestive system,Acute Pancreatitis,Phase 3,ANNUALIZED RATE OF HEMIN ADMINISTRATION,1,19,5.2632,19
Disorder of digestive system,Acute Pancreatitis,Phase 3,ANNUALIZED RATE OF PORPHYRIA ATTACKS,1,19,5.2632,20
Disorder of digestive system,Acute Pancreatitis,Phase 3,AREA UNDER THE CURVE OF CHANGE IN WEEKLY MEAN PAIN SCORE,1,19,5.2632,23
Disorder of digestive system,Acute Pancreatitis,Phase 4,AVERAGE SKIN TEMPERATURE,2,33,6.0606,5
Disorder of digestive system,Acute Pancreatitis,Phase 4,CHANGE IN PAIN SCORE,2,33,6.0606,0
Disorder of digestive system,Acute Pancreatitis,Phase 4,CORE TEMPERATURE,2,33,6.0606,9
Disorder of digestive system,Acute Pancreatitis,Phase 4,GINGIVAL INDEX,2,33,6.0606,10
Disorder of digestive system,Acute Pancreatitis,Phase 4,HOSPITAL LENGTH OF STAY,2,33,6.0606,11
Disorder of digestive system,Acute Pancreatitis,Phase 4,SODIUM CONCENTRATION IN SWEAT,2,33,6.0606,16
Disorder of digestive system,Acute Pancreatitis,Phase 4,SWEAT RATE,2,33,6.0606,17
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 1,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2,10,20.0000,1
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 1,SEROCONVERSION RATE,2,10,20.0000,11
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 1,ACCUMULATION RATIO,1,10,10.0000,13
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 1,ADVERSE EVENTS RELATED TO BIO 300 ORAL POWDER,1,10,10.0000,14
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 1,ANTI-PD ANTIBODY CONCENTRATIONS,1,10,10.0000,16
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 1,ANTI-PE ANTIBODY CONCENTRATIONS,1,10,10.0000,17
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 1,ANTI-PILA ANTIBODY CONCENTRATIONS,1,10,10.0000,18
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 2,ALL-CAUSE MORTALITY,6,50,12.0000,0
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 2,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,6,50,12.0000,1
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 2,VENTILATOR-FREE DAYS,5,50,10.0000,2
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,4,50,8.0000,3
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 2,CHANGE IN PAO2/FIO2 RATIO,3,50,6.0000,4
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 2,HOSPITAL LENGTH OF STAY,3,50,6.0000,5
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 2,ICU ADMISSION RATE,3,50,6.0000,6
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 3,ALL-CAUSE MORTALITY,3,17,17.6471,0
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 3,AVERAGE DURATION OF FEVER,2,17,11.7647,7
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 3,CHANGE IN EQ-5D SCORE,2,17,11.7647,8
Respiratory disease,Acute Respiratory Distress Syndrome,Phase 3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2,17,11.7647,9
