outcome_rank,outcome_category,outcome_normalized,trial_count,category_trial_count
47,Functional Status,CHANGE IN 6-MINUTE WALK DISTANCE,484,484
48,Response Rates,TIME TO RESPONSE,474,388
49,Survival/Time-to-Event,DISEASE-FREE SURVIVAL,473,473
50,Pharmacokinetics,APPARENT VOLUME OF DISTRIBUTION,456,456
51,Mental Health Outcomes,CHANGE IN MADRS SCORE,441,441
52,Biomarkers/Lab Values,CHANGE IN CRP,433,433
53,Immunogenicity,ANTI-DRUG ANTIBODIES,421,421
54,Biomarkers/Lab Values,CHANGE IN TRIGLYCERIDES,404,404
55,Mental Health Outcomes,CHANGE IN PHQ-9 SCORE,401,401
56,Biomarkers/Lab Values,CHANGE IN TOTAL CHOLESTEROL,390,390
57,Response Rates,ACR20 RESPONSE,383,383
58,Biomarkers/Lab Values,CHANGE IN HDL CHOLESTEROL,376,376
59,Pharmacokinetics,HALF-LIFE,369,369
60,Disease Activity Scores,CHANGE IN DAS28 SCORE,364,364
61,Vital Signs/Physical Measures,CHANGE IN SYSTOLIC BLOOD PRESSURE,363,363
62,Pharmacokinetics,CLEARANCE,344,339
63,Functional Status,CHANGE IN HAQ-DI SCORE,340,323
64,Biomarkers/Lab Values,CHANGE IN VIRAL LOAD,326,213
65,Treatment Adherence,TREATMENT ADHERENCE RATE,326,325
66,Biomarkers/Lab Values,CHANGE IN ALT,325,325
67,Survival/Time-to-Event,MEDIAN OVERALL SURVIVAL,322,321
68,Vital Signs/Physical Measures,CHANGE IN WAIST CIRCUMFERENCE,319,317
69,Adverse Events/Safety,INCIDENCE OF ADVERSE EVENTS,316,316
70,Biomarkers/Lab Values,CHANGE IN CD4 COUNT,311,311
71,Biomarkers/Lab Values,NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,309,220
72,Pharmacokinetics,TROUGH CONCENTRATION,308,301
73,Pharmacokinetics,TERMINAL HALF-LIFE,304,304
74,Quality of Life/PRO,QUALITY OF LIFE SCORE,301,301
75,Biomarkers/Lab Values,CHANGE IN EGFR,298,298
76,Mental Health Outcomes,CHANGE IN HAM-D SCORE,293,293
77,Survival/Time-to-Event,TIME TO TREATMENT FAILURE,292,287
78,Symptoms/Pain,PAIN RESPONSE RATE,291,184
79,Response Rates,IGA RESPONSE,290,159
80,Response Rates,ACR50 RESPONSE,289,289
81,Immunogenicity,ANTIBODY TITER,288,255
82,Vital Signs/Physical Measures,CHANGE IN DIASTOLIC BLOOD PRESSURE,287,286
83,Response Rates,PASI 75 RESPONSE,284,181
84,Pharmacokinetics,ACCUMULATION RATIO,282,282
85,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,281,281
86,Pharmacokinetics,TERMINAL ELIMINATION HALF-LIFE,264,264
87,Biomarkers/Lab Values,CHANGE IN CREATININE,260,260
88,Quality of Life/PRO,CHANGE IN DLQI SCORE,253,253
89,Response Rates,ACR70 RESPONSE,251,251
90,Mental Health Outcomes,CHANGE IN GAD-7 SCORE,244,244
91,Survival/Time-to-Event,MEDIAN PROGRESSION-FREE SURVIVAL,244,244
92,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,242,242
93,Symptoms/Pain,CHANGE IN BPI SCORE,239,230
94,Immunogenicity,NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,237,237
95,Remission/Cure,COMPLETE REMISSION,236,125
96,Imaging Outcomes,CHANGE IN BONE MINERAL DENSITY,234,173
97,Quality of Life/PRO,CHANGE IN EORTC QLQ-C30 SCORE,234,234
98,Biomarkers/Lab Values,PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,227,177
99,Biomarkers/Lab Values,CHANGE IN AST,220,219
100,Mental Health Outcomes,CHANGE IN PANSS SCORE,217,211
101,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,217,217
102,Adverse Events/Safety,GRADE 3 OR HIGHER ADVERSE EVENTS,214,214
103,Vital Signs/Physical Measures,SYSTOLIC BLOOD PRESSURE,214,214
104,Treatment Adherence,PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,213,206
105,Mental Health Outcomes,CHANGE IN MMSE SCORE,211,211
106,Pharmacokinetics,MEAN RESIDENCE TIME,210,209
107,Biomarkers/Lab Values,CHANGE IN PLATELET COUNT,207,205
108,Response Rates,COMPLETE RESPONSE,204,195
109,Dose-Finding,RECOMMENDED PHASE 2 DOSE,202,201
110,Immunogenicity,IMMUNE RESPONSE RATE,201,184
111,Pharmacokinetics,RENAL CLEARANCE,198,189
112,Biomarkers/Lab Values,PERCENT CHANGE IN LDL CHOLESTEROL,197,197
113,Treatment Adherence,COMPLIANCE RATE,195,195
114,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,194,194
115,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN FEV1,192,157
116,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,190,190
117,Remission/Cure,CLINICAL REMISSION,189,182
118,Response Rates,RESPONDER RATE,188,186
119,Quality of Life/PRO,FATIGUE,185,112
120,Functional Status,6-MINUTE WALK DISTANCE,184,184
121,Pharmacokinetics,MAXIMUM SERUM CONCENTRATION,183,183
122,Response Rates,PATHOLOGICAL COMPLETE RESPONSE,182,175
123,Vital Signs/Physical Measures,DIASTOLIC BLOOD PRESSURE,177,177
124,Adverse Events/Safety,INJECTION SITE REACTIONS,177,177
125,Pharmacokinetics,MAXIMUM OBSERVED SERUM CONCENTRATION,177,177
126,Symptoms/Pain,PAIN SCORE,173,173
127,Hospitalization/Healthcare Use,HOSPITAL LENGTH OF STAY,170,170
128,Biomarkers/Lab Values,CHANGE IN WHITE BLOOD CELL COUNT,168,166
129,Response Rates,PASI 90 RESPONSE,167,114
130,Symptoms/Pain,CHANGE IN WOMAC PAIN SCORE,166,165
131,Mortality,30-DAY MORTALITY,159,159
132,Imaging Outcomes,CHANGE IN EJECTION FRACTION,159,135
133,Biomarkers/Lab Values,CHANGE IN ALBUMIN,157,157
134,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,157,157
135,Vital Signs/Physical Measures,CHANGE IN TEMPERATURE,156,156
136,Adverse Events/Safety,TOTAL ADVERSE EVENTS SUMMARY,156,156
137,Pharmacokinetics,TIME TO MAXIMUM PLASMA CONCENTRATION,154,154
138,Mental Health Outcomes,SUICIDAL IDEATION ASSESSMENT,152,151
139,Mental Health Outcomes,CHANGE IN HAM-A SCORE,151,151
140,Disease Activity Scores,CHANGE IN CDAI SCORE,150,150
141,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN BLOOD PRESSURE,148,148
142,Mental Health Outcomes,CHANGE IN MOCA SCORE,148,148
143,Mental Health Outcomes,CHANGE IN ADAS-COG SCORE,145,136
144,Adverse Events/Safety,INCIDENCE OF TREATMENT-EMERGENT ADVERSE EVENTS,145,145
145,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,144,143
146,Immunogenicity,GEOMETRIC MEAN TITERS,143,143
147,Quality of Life/PRO,CHANGE IN SGRQ SCORE,141,141
148,Pharmacokinetics,APPARENT CLEARANCE,140,140
149,Survival/Time-to-Event,1-YEAR SURVIVAL RATE,138,130
150,Response Rates,BEST OVERALL RESPONSE RATE,137,137
151,Biomarkers/Lab Values,CHANGE FROM BASELINE IN HEMATOCRIT,137,137
152,Biomarkers/Lab Values,CHANGE IN BILIRUBIN,137,136
153,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,137,137
154,Hospitalization/Healthcare Use,HOSPITALIZATION RATE,136,136
155,Adverse Events/Safety,NUMBER OF PATIENTS WITH ADVERSE EVENTS,135,135
156,Mental Health Outcomes,CHANGE IN YMRS SCORE,134,134
157,Pharmacokinetics,APPARENT TERMINAL HALF-LIFE,131,131
158,Biomarkers/Lab Values,PERCENT CHANGE IN TOTAL CHOLESTEROL,131,131
159,Pharmacokinetics,TROUGH PLASMA CONCENTRATION,131,131
160,Adverse Events/Safety,NUMBER OF SERIOUS ADVERSE EVENTS,130,130
161,Adverse Events/Safety,DOSE-LIMITING TOXICITY,128,128
162,Immunogenicity,GEOMETRIC MEAN TITER,128,127
163,Microbiological/Virological,VIRAL SUPPRESSION RATE,128,61
164,Biomarkers/Lab Values,PERCENT CHANGE IN HDL CHOLESTEROL,127,127
165,Treatment Adherence,RETENTION RATE,126,125
166,Biomarkers/Lab Values,CHANGE IN FERRITIN,123,123
167,Adverse Events/Safety,NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,122,122
168,Survival/Time-to-Event,TIME TO NEXT TREATMENT,121,120
169,Mortality,CARDIOVASCULAR MORTALITY,119,118
170,Response Rates,EASI 75 RESPONSE,119,62
171,Pharmacokinetics,ELIMINATION HALF-LIFE,119,119
172,Response Rates,PARTIAL RESPONSE RATE,119,119
173,Vital Signs/Physical Measures,CHANGE IN PULSE RATE,116,116
174,Mental Health Outcomes,DEPRESSION RESPONSE RATE,116,61
175,Biomarkers/Lab Values,CHANGE IN ESR,115,114
176,Symptoms/Pain,CHANGE IN PRURITUS SCORE,114,113
177,Survival/Time-to-Event,MEDIAN PROGRESSION FREE SURVIVAL,114,114
178,Pharmacokinetics,TOTAL BODY CLEARANCE,114,114
179,Pharmacokinetics,APPARENT ORAL CLEARANCE,113,113
180,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN TROUGH FEV1,113,86
181,Vital Signs/Physical Measures,CHANGE IN FEV1,112,88
182,Response Rates,CLINICAL RESPONSE RATE,112,112
183,Biomarkers/Lab Values,PERCENT CHANGE IN TRIGLYCERIDES,112,112
184,Pharmacokinetics,VOLUME OF DISTRIBUTION AT STEADY STATE,112,112
185,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN PULSE RATE,111,111
186,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,111,71
187,Biomarkers/Lab Values,CHANGE IN NT-PROBNP,110,110
188,Disease Activity Scores,CHANGE IN UPDRS SCORE,110,93
189,Adverse Events/Safety,NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,110,110
190,Biomarkers/Lab Values,PERCENT CHANGE IN APOLIPOPROTEIN B,110,110
191,Biomarkers/Lab Values,NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,109,92
192,Adverse Events/Safety,"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED SOLICITED GENERAL SYMPTOMS",109,109
193,Symptoms/Pain,OPIOID CONSUMPTION,108,50
194,Hospitalization/Healthcare Use,TIME TO HOSPITAL DISCHARGE,108,108
195,Vital Signs/Physical Measures,HEART RATE,107,107
196,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN RESPIRATORY RATE,106,106
197,Survival/Time-to-Event,RELAPSE-FREE SURVIVAL,106,106
198,Response Rates,PERCENTAGE OF PARTICIPANTS WITH VIROLOGIC FAILURE,105,96
199,Quality of Life/PRO,CHANGE IN EQ-5D-5L SCORE,104,104
200,Survival/Time-to-Event,OVERALL SURVIVAL RATE,104,104
201,Response Rates,PATHOLOGIC COMPLETE RESPONSE,104,97
202,Quality of Life/PRO,TREATMENT SATISFACTION,104,104
203,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,103,103
204,Biomarkers/Lab Values,MINIMAL RESIDUAL DISEASE NEGATIVITY,102,63
205,Imaging Outcomes,CHANGE IN TUMOR SIZE,101,90
206,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,101,101
207,Symptoms/Pain,VAS PAIN SCORE,101,101
208,Quality of Life/PRO,CHANGE IN EQ-5D VAS SCORE,100,100
209,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,100,100
210,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,100,100
211,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,100,87
212,Biomarkers/Lab Values,CHANGE IN C-REACTIVE PROTEIN,99,99
213,Mental Health Outcomes,CHANGE IN HADS SCORE,99,99
214,Mental Health Outcomes,CHANGE FROM BASELINE IN CGI-S SCORE,98,54
215,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN SYSTOLIC BLOOD PRESSURE,98,98
216,Quality of Life/PRO,CHANGE IN FATIGUE SCORE,98,74
217,Response Rates,CLINICAL RESPONSE,98,87
218,Survival/Time-to-Event,TIME TO PSA PROGRESSION,98,95
219,Pharmacokinetics,ELIMINATION RATE CONSTANT,97,97
220,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,97,97
221,Pharmacokinetics,PEAK PLASMA CONCENTRATION,97,97
222,Symptoms/Pain,NAUSEA,96,76
223,Biomarkers/Lab Values,CHANGE IN ABSOLUTE NEUTROPHIL COUNT,95,95
224,Biomarkers/Lab Values,CHANGE FROM BASELINE IN HEMATOLOGY PARAMETERS,94,94
225,Biomarkers/Lab Values,CHANGE IN HEMATOCRIT,94,94
226,Mortality,TREATMENT-RELATED MORTALITY,94,94
227,Survival/Time-to-Event,RECURRENCE-FREE SURVIVAL,93,93
228,Pharmacokinetics,AUCTAU,92,92
229,Functional Status,CHANGE IN EDSS SCORE,92,71
230,Biomarkers/Lab Values,CHANGE IN HSCRP,92,92
231,Response Rates,TUMOR RESPONSE RATE,92,92
232,Response Rates,PASI 50 RESPONSE,90,55
233,Adverse Events/Safety,PROCEDURAL SUCCESS,90,43
234,Quality of Life/PRO,CHANGE IN KCCQ SCORE,89,89
235,Quality of Life/PRO,SLEEP EFFICIENCY,89,88
236,Survival/Time-to-Event,TIME TO RELAPSE,89,78
237,Pharmacokinetics,MINIMUM PLASMA CONCENTRATION,88,88
238,Symptoms/Pain,PRURITUS SCORE,88,85
239,Vital Signs/Physical Measures,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,87,79
240,Immunogenicity,SERORESPONSE RATE,87,87
241,Mental Health Outcomes,CHANGE IN CGI-S SCORE,86,59
242,Adverse Events/Safety,FREQUENCY OF ADVERSE EVENTS,86,86
243,Vital Signs/Physical Measures,PERCENT CHANGE IN BODY WEIGHT,86,86
244,Remission/Cure,DEPRESSION REMISSION RATE,85,67
245,Disease Control,STABLE DISEASE RATE,85,71
246,Vital Signs/Physical Measures,BODY MASS INDEX,84,83
247,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN DIASTOLIC BLOOD PRESSURE,84,84
248,Disease Activity Scores,CHANGE IN SDAI SCORE,84,84
249,Symptoms/Pain,DYSPNEA SCORE,84,81
250,Microbiological/Virological,MICROBIOLOGICAL ERADICATION,84,84
251,Survival/Time-to-Event,TIME TO TUMOR PROGRESSION,84,84
252,Pharmacokinetics,APPARENT CLEARANCE (CL/F),83,83
253,Biomarkers/Lab Values,CHANGE IN FASTING INSULIN,83,83
254,Mental Health Outcomes,CHANGE IN PHQ-8 SCORE,83,83
255,Adverse Events/Safety,ADVERSE EVENTS LEADING TO DISCONTINUATION,82,82
256,Mortality,ALL COLLECTED DEATHS,82,82
257,Pharmacokinetics,AUC∞,82,82
258,Biomarkers/Lab Values,CHANGE IN FASTING GLUCOSE,82,82
259,Vital Signs/Physical Measures,FORCED EXPIRATORY VOLUME IN 1 SECOND (FEV1),82,76
260,Quality of Life/PRO,PARTICIPANT SATISFACTION,82,82
261,Response Rates,PASI 100 RESPONSE,82,52
262,Biomarkers/Lab Values,CHANGE IN INR,81,81
263,Vital Signs/Physical Measures,INTRAOCULAR PRESSURE,81,79
264,Biomarkers/Lab Values,CHANGE IN HOMA-IR,80,80
265,Adverse Events/Safety,INCIDENCE OF SERIOUS ADVERSE EVENTS,80,80
266,Mortality,NUMBER OF PARTICIPANTS WHO DIED,80,80
267,Pharmacokinetics,PLASMA DECAY HALF-LIFE,79,79
268,Quality of Life/PRO,TOTAL SLEEP TIME,79,77
269,Response Rates,TUMOR RESPONSE,79,78
270,Hospitalization/Healthcare Use,LENGTH OF STAY,78,78
271,Pharmacokinetics,MAXIMUM OBSERVED PLASMA CONCENTRATION,78,78
272,Mental Health Outcomes,CHANGE IN CES-D SCORE,77,77
273,Hospitalization/Healthcare Use,DURATION OF HOSPITALIZATION,77,77
274,Survival/Time-to-Event,DURATION OF OBJECTIVE RESPONSE,77,39
275,Hospitalization/Healthcare Use,ICU ADMISSION RATE,77,76
276,Hospitalization/Healthcare Use,ICU LENGTH OF STAY,77,77
277,Vital Signs/Physical Measures,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,77,72
278,Immunogenicity,NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,77,77
279,Adverse Events/Safety,NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,77,77
280,Quality of Life/PRO,PATIENT GLOBAL IMPRESSION OF IMPROVEMENT,77,76
281,Vital Signs/Physical Measures,FORCED VITAL CAPACITY,76,75
282,Biomarkers/Lab Values,LABORATORY VALUES SUMMARY,76,75
283,Mortality,NON-RELAPSE MORTALITY,76,76
284,Functional Status,VISUAL ACUITY,76,54
285,Mental Health Outcomes,CHANGE IN BDI-II SCORE,75,75
286,Mental Health Outcomes,PERCEIVED STRESS SCORE,75,75
287,Response Rates,TARGET LESION RESPONSE,75,74
288,Disease Activity Scores,ANNUALIZED RELAPSE RATE,74,72
289,Mental Health Outcomes,CHANGE IN ANXIETY SCORE,74,74
290,Biomarkers/Lab Values,CHANGE IN PSA,74,72
291,Response Rates,COMPLETE REMISSION RATE,73,62
292,Remission/Cure,ENDOSCOPIC REMISSION,73,68
293,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL RATE,73,71
294,Hospitalization/Healthcare Use,READMISSION RATE,73,73
295,Disease Control,ANNUAL EXACERBATION RATE,72,51
296,Disease Control,CLINICAL SUCCESS,72,27
297,Remission/Cure,CURE RATE,72,58
298,Pharmacokinetics,AUC0-LAST,71,71
299,Functional Status,CHANGE IN VISUAL ACUITY,71,48
300,Hospitalization/Healthcare Use,EMERGENCY ROOM VISITS,71,71
301,Biomarkers/Lab Values,MEAN CHANGE IN HEMOGLOBIN,71,71
302,Imaging Outcomes,PERCENT CHANGE IN BONE MINERAL DENSITY,71,58
303,Symptoms/Pain,CHANGE IN ADHD-RS SCORE,70,39
304,Biomarkers/Lab Values,CHANGE IN TOTAL BILIRUBIN,70,70
305,Disease Control,DURATION OF STABLE DISEASE,70,56
306,Mortality,MORTALITY,70,70
307,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,70,70
308,Biomarkers/Lab Values,PERCENT CHANGE IN NON-HDL-C,70,70
309,Mortality,PERCENTAGE OF PARTICIPANTS WHO DIED,70,70
310,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN ECG PARAMETERS,69,65
311,Treatment Adherence,MEDICATION ADHERENCE,69,69
312,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,69,69
313,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,69,69
314,Disease Control,TECHNICAL SUCCESS,69,18
315,Disease Activity Scores,CHANGE IN BASDAI SCORE,68,68
316,Functional Status,CHANGE IN ECOG PERFORMANCE STATUS,68,66
317,Remission/Cure,CLINICAL CURE RATE,68,40
318,Biomarkers/Lab Values,INSULIN SENSITIVITY,68,68
319,Treatment Adherence,NUMBER OF PARTICIPANTS COMPLETING TREATMENT,68,61
320,Adverse Events/Safety,TOTAL SERIOUS ADVERSE EVENTS SUMMARY,68,68
321,Symptoms/Pain,CHANGE IN DYSPNEA SCORE,67,63
322,Biomarkers/Lab Values,CHANGE IN SERUM CREATININE,67,67
323,Quality of Life/PRO,CHANGE IN SF-12 SCORE,67,66
324,Mental Health Outcomes,CLINICIAN GLOBAL IMPRESSION,67,26
325,Functional Status,CHANGE IN PHYSICAL ACTIVITY,66,66
326,Quality of Life/PRO,CLIENT SATISFACTION,66,65
327,Other Clinical Endpoints,DEVICE SUCCESS,66,23
328,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,66,66
329,Biomarkers/Lab Values,PERCENT CHANGE IN LDL-C,66,66
330,Vital Signs/Physical Measures,RESPIRATORY RATE,66,66
331,Mortality,90-DAY MORTALITY,65,65
332,Adverse Events/Safety,"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",65,65
333,Symptoms/Pain,AVERAGE PAIN SCORE,64,64
334,Vital Signs/Physical Measures,MEAN CHANGE IN BLOOD PRESSURE,64,64
335,Response Rates,PSA RESPONSE RATE,64,64
336,Pharmacokinetics,STEADY-STATE CONCENTRATION,64,64
337,Pharmacokinetics,SYSTEMIC CLEARANCE,64,63
338,Vital Signs/Physical Measures,TROUGH FEV1,64,57
339,Pharmacokinetics,APPARENT TERMINAL ELIMINATION HALF-LIFE,63,63
340,Biomarkers/Lab Values,CHANGE FROM BASELINE IN ERYTHROCYTES,63,63
341,Mortality,NUMBER OF DEATHS,63,63
342,Quality of Life/PRO,CHANGE IN EQ-5D-5L VAS SCORE,62,62
343,Quality of Life/PRO,CHANGE IN FACIT-FATIGUE SCORE,62,59
344,Response Rates,MEDIAN DURATION OF RESPONSE,62,33
345,Adverse Events/Safety,NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,62,62
346,Vital Signs/Physical Measures,NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,62,53
347,Adverse Events/Safety,NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,62,62
348,Adverse Events/Safety,PERCENTAGE OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,62,62
349,Quality of Life/PRO,PITTSBURGH SLEEP QUALITY INDEX SCORE,62,62
350,Response Rates,PROSTATE-SPECIFIC ANTIGEN RESPONSE,62,32
351,Adverse Events/Safety,ESTIMATED BLOOD LOSS,61,29
352,Response Rates,PERCENTAGE OF PATIENTS ACHIEVING TARGET,61,38
353,Mental Health Outcomes,CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,60,18
354,Adverse Events/Safety,NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,60,60
355,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,60,60
356,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,59,59
357,Quality of Life/PRO,PATIENT GLOBAL IMPRESSION OF SEVERITY,59,28
358,Biomarkers/Lab Values,PERCENT CHANGE IN NON-HDL CHOLESTEROL,59,59
359,Pharmacokinetics,AUCINF,58,58
360,Mental Health Outcomes,BECK DEPRESSION INVENTORY SCORE,58,58
361,Functional Status,CHANGE FROM BASELINE IN BEST CORRECTED VISUAL ACUITY,58,42
362,Functional Status,CHANGE IN BEST CORRECTED VISUAL ACUITY,58,45
363,Adverse Events/Safety,NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,58,58
364,Disease Activity Scores,PERCENT CHANGE IN EASI SCORE,58,58
365,Immunogenicity,PERCENTAGE OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,58,58
366,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN HEART RATE,57,57
367,Vital Signs/Physical Measures,CHANGE IN BODY TEMPERATURE,57,57
368,Mental Health Outcomes,CHANGE IN PERCEIVED STRESS SCORE,57,57
369,Quality of Life/PRO,CLINICIAN GLOBAL IMPRESSION OF CHANGE,57,24
370,Mental Health Outcomes,DEPRESSIVE SYMPTOMS,57,57
