outcome_rank,outcome_category,outcome_normalized,start_year,trial_count
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1993,1
12,Vital Signs/Physical Measures,CHANGE IN BODY WEIGHT,1993,1
22,Mortality,ALL-CAUSE MORTALITY,1993,4
39,Vital Signs/Physical Measures,CHANGE IN BODY MASS INDEX,1993,1
206,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,1993,1
491,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN HEIGHT,1993,1
1,Response Rates,OBJECTIVE RESPONSE RATE,1994,1
2,Survival/Time-to-Event,OVERALL SURVIVAL,1994,1
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1994,1
22,Mortality,ALL-CAUSE MORTALITY,1994,1
37,Quality of Life/PRO,CHANGE IN EQ-5D SCORE,1994,1
49,Survival/Time-to-Event,DISEASE-FREE SURVIVAL,1994,1
76,Mental Health Outcomes,CHANGE IN HAM-D SCORE,1994,1
95,Remission/Cure,COMPLETE REMISSION,1994,1
102,Adverse Events/Safety,GRADE 3 OR HIGHER ADVERSE EVENTS,1994,1
229,Functional Status,CHANGE IN EDSS SCORE,1994,1
1,Response Rates,OBJECTIVE RESPONSE RATE,1995,5
2,Survival/Time-to-Event,OVERALL SURVIVAL,1995,5
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,1995,1
8,Response Rates,DURATION OF RESPONSE,1995,2
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,1995,1
21,Survival/Time-to-Event,TIME TO PROGRESSION,1995,1
28,Quality of Life/PRO,CHANGE IN SF-36 SCORE,1995,1
29,Response Rates,COMPLETE RESPONSE RATE,1995,1
36,Response Rates,CLINICAL BENEFIT RATE,1995,1
39,Vital Signs/Physical Measures,CHANGE IN BODY MASS INDEX,1995,1
48,Response Rates,TIME TO RESPONSE,1995,1
78,Symptoms/Pain,PAIN RESPONSE RATE,1995,4
113,Treatment Adherence,COMPLIANCE RATE,1995,1
206,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,1995,1
222,Symptoms/Pain,NAUSEA,1995,1
235,Quality of Life/PRO,SLEEP EFFICIENCY,1995,1
341,Mortality,NUMBER OF DEATHS,1995,1
1,Response Rates,OBJECTIVE RESPONSE RATE,1996,24
2,Survival/Time-to-Event,OVERALL SURVIVAL,1996,3
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,1996,1
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1996,1
5,Pharmacokinetics,MAXIMUM PLASMA CONCENTRATION,1996,1
8,Response Rates,DURATION OF RESPONSE,1996,2
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,1996,1
21,Survival/Time-to-Event,TIME TO PROGRESSION,1996,2
29,Response Rates,COMPLETE RESPONSE RATE,1996,3
35,Pharmacokinetics,VOLUME OF DISTRIBUTION,1996,1
45,Survival/Time-to-Event,EVENT-FREE SURVIVAL,1996,1
62,Pharmacokinetics,CLEARANCE,1996,1
67,Survival/Time-to-Event,MEDIAN OVERALL SURVIVAL,1996,1
73,Pharmacokinetics,TERMINAL HALF-LIFE,1996,1
77,Survival/Time-to-Event,TIME TO TREATMENT FAILURE,1996,1
95,Remission/Cure,COMPLETE REMISSION,1996,1
110,Immunogenicity,IMMUNE RESPONSE RATE,1996,1
130,Symptoms/Pain,CHANGE IN WOMAC PAIN SCORE,1996,1
210,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,1996,1
313,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,1996,1
399,Symptoms/Pain,CHANGE IN WOMAC STIFFNESS SCORE,1996,1
445,Response Rates,CONFIRMED RESPONSE RATE,1996,1
1,Response Rates,OBJECTIVE RESPONSE RATE,1997,2
2,Survival/Time-to-Event,OVERALL SURVIVAL,1997,8
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,1997,3
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1997,4
8,Response Rates,DURATION OF RESPONSE,1997,1
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,1997,1
12,Vital Signs/Physical Measures,CHANGE IN BODY WEIGHT,1997,1
13,Pharmacokinetics,AREA UNDER THE CONCENTRATION-TIME CURVE,1997,1
17,Symptoms/Pain,CHANGE IN VAS PAIN SCORE,1997,1
18,Quality of Life/PRO,PATIENT SATISFACTION,1997,1
19,Dose-Finding,MAXIMUM TOLERATED DOSE,1997,1
20,Symptoms/Pain,CHANGE IN PAIN SCORE,1997,1
21,Survival/Time-to-Event,TIME TO PROGRESSION,1997,1
28,Quality of Life/PRO,CHANGE IN SF-36 SCORE,1997,2
39,Vital Signs/Physical Measures,CHANGE IN BODY MASS INDEX,1997,1
42,Response Rates,SUSTAINED VIROLOGIC RESPONSE,1997,1
45,Survival/Time-to-Event,EVENT-FREE SURVIVAL,1997,2
49,Survival/Time-to-Event,DISEASE-FREE SURVIVAL,1997,1
57,Response Rates,ACR20 RESPONSE,1997,1
76,Mental Health Outcomes,CHANGE IN HAM-D SCORE,1997,1
96,Imaging Outcomes,CHANGE IN BONE MINERAL DENSITY,1997,1
131,Mortality,30-DAY MORTALITY,1997,1
182,Response Rates,CLINICAL RESPONSE RATE,1997,1
207,Symptoms/Pain,VAS PAIN SCORE,1997,1
217,Response Rates,CLINICAL RESPONSE,1997,1
370,Mental Health Outcomes,DEPRESSIVE SYMPTOMS,1997,1
458,Adverse Events/Safety,ANNUALIZED BLEEDING RATE,1997,1
1,Response Rates,OBJECTIVE RESPONSE RATE,1998,9
2,Survival/Time-to-Event,OVERALL SURVIVAL,1998,17
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,1998,9
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1998,4
8,Response Rates,DURATION OF RESPONSE,1998,6
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,1998,3
12,Vital Signs/Physical Measures,CHANGE IN BODY WEIGHT,1998,1
18,Quality of Life/PRO,PATIENT SATISFACTION,1998,1
19,Dose-Finding,MAXIMUM TOLERATED DOSE,1998,1
21,Survival/Time-to-Event,TIME TO PROGRESSION,1998,4
22,Mortality,ALL-CAUSE MORTALITY,1998,1
27,Adverse Events/Safety,NUMBER OF ADVERSE EVENTS,1998,1
29,Response Rates,COMPLETE RESPONSE RATE,1998,2
39,Vital Signs/Physical Measures,CHANGE IN BODY MASS INDEX,1998,1
45,Survival/Time-to-Event,EVENT-FREE SURVIVAL,1998,1
48,Response Rates,TIME TO RESPONSE,1998,1
49,Survival/Time-to-Event,DISEASE-FREE SURVIVAL,1998,4
57,Response Rates,ACR20 RESPONSE,1998,1
76,Mental Health Outcomes,CHANGE IN HAM-D SCORE,1998,1
77,Survival/Time-to-Event,TIME TO TREATMENT FAILURE,1998,4
80,Response Rates,ACR50 RESPONSE,1998,1
81,Immunogenicity,ANTIBODY TITER,1998,1
85,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,1998,1
89,Response Rates,ACR70 RESPONSE,1998,1
96,Imaging Outcomes,CHANGE IN BONE MINERAL DENSITY,1998,1
98,Biomarkers/Lab Values,PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,1998,1
102,Adverse Events/Safety,GRADE 3 OR HIGHER ADVERSE EVENTS,1998,2
108,Response Rates,COMPLETE RESPONSE,1998,4
110,Immunogenicity,IMMUNE RESPONSE RATE,1998,1
131,Mortality,30-DAY MORTALITY,1998,2
155,Adverse Events/Safety,NUMBER OF PATIENTS WITH ADVERSE EVENTS,1998,1
168,Survival/Time-to-Event,TIME TO NEXT TREATMENT,1998,1
172,Response Rates,PARTIAL RESPONSE RATE,1998,3
197,Survival/Time-to-Event,RELAPSE-FREE SURVIVAL,1998,1
203,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,1998,1
204,Biomarkers/Lab Values,MINIMAL RESIDUAL DISEASE NEGATIVITY,1998,1
210,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,1998,3
226,Mortality,TREATMENT-RELATED MORTALITY,1998,1
266,Mortality,NUMBER OF PARTICIPANTS WHO DIED,1998,1
287,Response Rates,TARGET LESION RESPONSE,1998,1
291,Response Rates,COMPLETE REMISSION RATE,1998,1
302,Imaging Outcomes,PERCENT CHANGE IN BONE MINERAL DENSITY,1998,1
437,Response Rates,NUMBER OF RESPONDERS,1998,1
445,Response Rates,CONFIRMED RESPONSE RATE,1998,5
457,Mortality,TIME TO DEATH,1998,1
479,Treatment Adherence,DURATION OF TREATMENT,1998,1
495,Functional Status,HARRIS HIP SCORE,1998,1
1,Response Rates,OBJECTIVE RESPONSE RATE,1999,8
2,Survival/Time-to-Event,OVERALL SURVIVAL,1999,24
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,1999,10
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,1999,5
8,Response Rates,DURATION OF RESPONSE,1999,3
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,1999,1
11,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN A1C,1999,2
16,Quality of Life/PRO,CHANGE IN QUALITY OF LIFE SCORE,1999,2
18,Quality of Life/PRO,PATIENT SATISFACTION,1999,1
21,Survival/Time-to-Event,TIME TO PROGRESSION,1999,2
22,Mortality,ALL-CAUSE MORTALITY,1999,1
28,Quality of Life/PRO,CHANGE IN SF-36 SCORE,1999,2
29,Response Rates,COMPLETE RESPONSE RATE,1999,1
48,Response Rates,TIME TO RESPONSE,1999,1
49,Survival/Time-to-Event,DISEASE-FREE SURVIVAL,1999,9
76,Mental Health Outcomes,CHANGE IN HAM-D SCORE,1999,1
81,Immunogenicity,ANTIBODY TITER,1999,1
85,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,1999,1
113,Treatment Adherence,COMPLIANCE RATE,1999,1
122,Response Rates,PATHOLOGICAL COMPLETE RESPONSE,1999,1
139,Mental Health Outcomes,CHANGE IN HAM-A SCORE,1999,1
149,Survival/Time-to-Event,1-YEAR SURVIVAL RATE,1999,1
188,Disease Activity Scores,CHANGE IN UPDRS SCORE,1999,1
203,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,1999,1
226,Mortality,TREATMENT-RELATED MORTALITY,1999,1
227,Survival/Time-to-Event,RECURRENCE-FREE SURVIVAL,1999,1
231,Response Rates,TUMOR RESPONSE RATE,1999,1
244,Remission/Cure,DEPRESSION REMISSION RATE,1999,1
251,Survival/Time-to-Event,TIME TO TUMOR PROGRESSION,1999,1
266,Mortality,NUMBER OF PARTICIPANTS WHO DIED,1999,1
269,Response Rates,TUMOR RESPONSE,1999,1
281,Vital Signs/Physical Measures,FORCED VITAL CAPACITY,1999,1
283,Mortality,NON-RELAPSE MORTALITY,1999,1
284,Functional Status,VISUAL ACUITY,1999,1
360,Mental Health Outcomes,BECK DEPRESSION INVENTORY SCORE,1999,1
370,Mental Health Outcomes,DEPRESSIVE SYMPTOMS,1999,1
375,Vital Signs/Physical Measures,CHANGE IN INTRAOCULAR PRESSURE,1999,1
396,Survival/Time-to-Event,2-YEAR SURVIVAL RATE,1999,1
415,Mortality,TRANSPLANT-RELATED MORTALITY,1999,1
463,Adverse Events/Safety,DRUG-RELATED ADVERSE EVENTS,1999,1
495,Functional Status,HARRIS HIP SCORE,1999,1
1,Response Rates,OBJECTIVE RESPONSE RATE,2000,8
2,Survival/Time-to-Event,OVERALL SURVIVAL,2000,27
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,2000,10
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2000,8
5,Pharmacokinetics,MAXIMUM PLASMA CONCENTRATION,2000,2
7,Pharmacokinetics,TIME TO MAXIMUM CONCENTRATION,2000,1
8,Response Rates,DURATION OF RESPONSE,2000,4
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2000,3
11,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN A1C,2000,2
12,Vital Signs/Physical Measures,CHANGE IN BODY WEIGHT,2000,4
16,Quality of Life/PRO,CHANGE IN QUALITY OF LIFE SCORE,2000,1
17,Symptoms/Pain,CHANGE IN VAS PAIN SCORE,2000,2
19,Dose-Finding,MAXIMUM TOLERATED DOSE,2000,1
21,Survival/Time-to-Event,TIME TO PROGRESSION,2000,5
22,Mortality,ALL-CAUSE MORTALITY,2000,4
24,Vital Signs/Physical Measures,CHANGE IN BLOOD PRESSURE,2000,2
26,Biomarkers/Lab Values,CHANGE IN FASTING PLASMA GLUCOSE,2000,1
28,Quality of Life/PRO,CHANGE IN SF-36 SCORE,2000,3
29,Response Rates,COMPLETE RESPONSE RATE,2000,5
30,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,2000,1
31,Vital Signs/Physical Measures,CHANGE IN HEART RATE,2000,2
34,Immunogenicity,SEROCONVERSION RATE,2000,1
35,Pharmacokinetics,VOLUME OF DISTRIBUTION,2000,1
36,Response Rates,CLINICAL BENEFIT RATE,2000,1
38,Hospitalization/Healthcare Use,LENGTH OF HOSPITAL STAY,2000,1
39,Vital Signs/Physical Measures,CHANGE IN BODY MASS INDEX,2000,3
41,Symptoms/Pain,CHANGE IN NRS PAIN SCORE,2000,1
43,Adverse Events/Safety,DOSE-LIMITING TOXICITIES,2000,1
44,Biomarkers/Lab Values,CHANGE IN LDL CHOLESTEROL,2000,3
45,Survival/Time-to-Event,EVENT-FREE SURVIVAL,2000,4
47,Functional Status,CHANGE IN 6-MINUTE WALK DISTANCE,2000,1
48,Response Rates,TIME TO RESPONSE,2000,1
49,Survival/Time-to-Event,DISEASE-FREE SURVIVAL,2000,8
52,Biomarkers/Lab Values,CHANGE IN CRP,2000,2
53,Immunogenicity,ANTI-DRUG ANTIBODIES,2000,1
54,Biomarkers/Lab Values,CHANGE IN TRIGLYCERIDES,2000,1
56,Biomarkers/Lab Values,CHANGE IN TOTAL CHOLESTEROL,2000,1
57,Response Rates,ACR20 RESPONSE,2000,4
58,Biomarkers/Lab Values,CHANGE IN HDL CHOLESTEROL,2000,1
60,Disease Activity Scores,CHANGE IN DAS28 SCORE,2000,1
62,Pharmacokinetics,CLEARANCE,2000,1
63,Functional Status,CHANGE IN HAQ-DI SCORE,2000,3
70,Biomarkers/Lab Values,CHANGE IN CD4 COUNT,2000,2
71,Biomarkers/Lab Values,NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2000,1
74,Quality of Life/PRO,QUALITY OF LIFE SCORE,2000,1
75,Biomarkers/Lab Values,CHANGE IN EGFR,2000,1
77,Survival/Time-to-Event,TIME TO TREATMENT FAILURE,2000,3
80,Response Rates,ACR50 RESPONSE,2000,4
81,Immunogenicity,ANTIBODY TITER,2000,3
82,Vital Signs/Physical Measures,CHANGE IN DIASTOLIC BLOOD PRESSURE,2000,1
89,Response Rates,ACR70 RESPONSE,2000,4
91,Survival/Time-to-Event,MEDIAN PROGRESSION-FREE SURVIVAL,2000,2
96,Imaging Outcomes,CHANGE IN BONE MINERAL DENSITY,2000,3
98,Biomarkers/Lab Values,PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2000,2
102,Adverse Events/Safety,GRADE 3 OR HIGHER ADVERSE EVENTS,2000,2
105,Mental Health Outcomes,CHANGE IN MMSE SCORE,2000,1
108,Response Rates,COMPLETE RESPONSE,2000,3
117,Remission/Cure,CLINICAL REMISSION,2000,1
122,Response Rates,PATHOLOGICAL COMPLETE RESPONSE,2000,1
169,Mortality,CARDIOVASCULAR MORTALITY,2000,1
194,Hospitalization/Healthcare Use,TIME TO HOSPITAL DISCHARGE,2000,1
197,Survival/Time-to-Event,RELAPSE-FREE SURVIVAL,2000,1
200,Survival/Time-to-Event,OVERALL SURVIVAL RATE,2000,1
205,Imaging Outcomes,CHANGE IN TUMOR SIZE,2000,1
206,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,2000,1
222,Symptoms/Pain,NAUSEA,2000,1
226,Mortality,TREATMENT-RELATED MORTALITY,2000,1
227,Survival/Time-to-Event,RECURRENCE-FREE SURVIVAL,2000,2
231,Response Rates,TUMOR RESPONSE RATE,2000,1
241,Mental Health Outcomes,CHANGE IN CGI-S SCORE,2000,1
251,Survival/Time-to-Event,TIME TO TUMOR PROGRESSION,2000,1
255,Adverse Events/Safety,ADVERSE EVENTS LEADING TO DISCONTINUATION,2000,1
266,Mortality,NUMBER OF PARTICIPANTS WHO DIED,2000,1
273,Hospitalization/Healthcare Use,DURATION OF HOSPITALIZATION,2000,1
284,Functional Status,VISUAL ACUITY,2000,1
299,Functional Status,CHANGE IN VISUAL ACUITY,2000,1
303,Symptoms/Pain,CHANGE IN ADHD-RS SCORE,2000,1
311,Treatment Adherence,MEDICATION ADHERENCE,2000,1
320,Adverse Events/Safety,TOTAL SERIOUS ADVERSE EVENTS SUMMARY,2000,1
392,Survival/Time-to-Event,MEDIAN SURVIVAL TIME,2000,1
445,Response Rates,CONFIRMED RESPONSE RATE,2000,1
477,Imaging Outcomes,CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,2000,1
492,Vital Signs/Physical Measures,CHANGE FROM BASELINE IN INTRAOCULAR PRESSURE,2000,1
1,Response Rates,OBJECTIVE RESPONSE RATE,2001,23
2,Survival/Time-to-Event,OVERALL SURVIVAL,2001,39
3,Survival/Time-to-Event,PROGRESSION-FREE SURVIVAL,2001,19
4,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2001,16
5,Pharmacokinetics,MAXIMUM PLASMA CONCENTRATION,2001,9
6,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2001,1
7,Pharmacokinetics,TIME TO MAXIMUM CONCENTRATION,2001,2
8,Response Rates,DURATION OF RESPONSE,2001,11
9,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2001,5
10,Pharmacokinetics,AUC FROM 0 TO INFINITY,2001,2
11,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN A1C,2001,1
12,Vital Signs/Physical Measures,CHANGE IN BODY WEIGHT,2001,2
13,Pharmacokinetics,AREA UNDER THE CONCENTRATION-TIME CURVE,2001,6
15,Pharmacokinetics,PLASMA DRUG CONCENTRATION,2001,1
16,Quality of Life/PRO,CHANGE IN QUALITY OF LIFE SCORE,2001,2
17,Symptoms/Pain,CHANGE IN VAS PAIN SCORE,2001,4
18,Quality of Life/PRO,PATIENT SATISFACTION,2001,1
19,Dose-Finding,MAXIMUM TOLERATED DOSE,2001,4
20,Symptoms/Pain,CHANGE IN PAIN SCORE,2001,4
21,Survival/Time-to-Event,TIME TO PROGRESSION,2001,5
22,Mortality,ALL-CAUSE MORTALITY,2001,7
23,Response Rates,PERCENTAGE OF PARTICIPANTS ACHIEVING TARGET,2001,1
24,Vital Signs/Physical Measures,CHANGE IN BLOOD PRESSURE,2001,1
25,Pharmacokinetics,AUC FROM 0 TO LAST MEASURABLE CONCENTRATION,2001,4
26,Biomarkers/Lab Values,CHANGE IN FASTING PLASMA GLUCOSE,2001,2
28,Quality of Life/PRO,CHANGE IN SF-36 SCORE,2001,1
29,Response Rates,COMPLETE RESPONSE RATE,2001,4
32,Biomarkers/Lab Values,CHANGE IN HEMOGLOBIN,2001,1
36,Response Rates,CLINICAL BENEFIT RATE,2001,1
37,Quality of Life/PRO,CHANGE IN EQ-5D SCORE,2001,1
38,Hospitalization/Healthcare Use,LENGTH OF HOSPITAL STAY,2001,1
42,Response Rates,SUSTAINED VIROLOGIC RESPONSE,2001,1
43,Adverse Events/Safety,DOSE-LIMITING TOXICITIES,2001,3
44,Biomarkers/Lab Values,CHANGE IN LDL CHOLESTEROL,2001,1
45,Survival/Time-to-Event,EVENT-FREE SURVIVAL,2001,2
47,Functional Status,CHANGE IN 6-MINUTE WALK DISTANCE,2001,1
48,Response Rates,TIME TO RESPONSE,2001,1
49,Survival/Time-to-Event,DISEASE-FREE SURVIVAL,2001,8
52,Biomarkers/Lab Values,CHANGE IN CRP,2001,2
54,Biomarkers/Lab Values,CHANGE IN TRIGLYCERIDES,2001,1
56,Biomarkers/Lab Values,CHANGE IN TOTAL CHOLESTEROL,2001,1
57,Response Rates,ACR20 RESPONSE,2001,1
62,Pharmacokinetics,CLEARANCE,2001,2
63,Functional Status,CHANGE IN HAQ-DI SCORE,2001,1
64,Biomarkers/Lab Values,CHANGE IN VIRAL LOAD,2001,2
66,Biomarkers/Lab Values,CHANGE IN ALT,2001,2
67,Survival/Time-to-Event,MEDIAN OVERALL SURVIVAL,2001,4
68,Vital Signs/Physical Measures,CHANGE IN WAIST CIRCUMFERENCE,2001,1
69,Adverse Events/Safety,INCIDENCE OF ADVERSE EVENTS,2001,1
70,Biomarkers/Lab Values,CHANGE IN CD4 COUNT,2001,4
71,Biomarkers/Lab Values,NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2001,1
72,Pharmacokinetics,TROUGH CONCENTRATION,2001,1
73,Pharmacokinetics,TERMINAL HALF-LIFE,2001,1
76,Mental Health Outcomes,CHANGE IN HAM-D SCORE,2001,2
77,Survival/Time-to-Event,TIME TO TREATMENT FAILURE,2001,5
78,Symptoms/Pain,PAIN RESPONSE RATE,2001,1
86,Pharmacokinetics,TERMINAL ELIMINATION HALF-LIFE,2001,1
95,Remission/Cure,COMPLETE REMISSION,2001,2
96,Imaging Outcomes,CHANGE IN BONE MINERAL DENSITY,2001,2
98,Biomarkers/Lab Values,PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2001,2
101,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,2001,1
102,Adverse Events/Safety,GRADE 3 OR HIGHER ADVERSE EVENTS,2001,1
104,Treatment Adherence,PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,2001,1
105,Mental Health Outcomes,CHANGE IN MMSE SCORE,2001,1
108,Response Rates,COMPLETE RESPONSE,2001,1
109,Dose-Finding,RECOMMENDED PHASE 2 DOSE,2001,1
111,Pharmacokinetics,RENAL CLEARANCE,2001,1
112,Biomarkers/Lab Values,PERCENT CHANGE IN LDL CHOLESTEROL,2001,1
114,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,2001,1
120,Functional Status,6-MINUTE WALK DISTANCE,2001,1
122,Response Rates,PATHOLOGICAL COMPLETE RESPONSE,2001,1
132,Imaging Outcomes,CHANGE IN EJECTION FRACTION,2001,1
135,Vital Signs/Physical Measures,CHANGE IN TEMPERATURE,2001,1
137,Pharmacokinetics,TIME TO MAXIMUM PLASMA CONCENTRATION,2001,2
149,Survival/Time-to-Event,1-YEAR SURVIVAL RATE,2001,2
153,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,2001,1
158,Biomarkers/Lab Values,PERCENT CHANGE IN TOTAL CHOLESTEROL,2001,1
161,Adverse Events/Safety,DOSE-LIMITING TOXICITY,2001,1
163,Microbiological/Virological,VIRAL SUPPRESSION RATE,2001,1
164,Biomarkers/Lab Values,PERCENT CHANGE IN HDL CHOLESTEROL,2001,1
169,Mortality,CARDIOVASCULAR MORTALITY,2001,2
177,Survival/Time-to-Event,MEDIAN PROGRESSION FREE SURVIVAL,2001,1
183,Biomarkers/Lab Values,PERCENT CHANGE IN TRIGLYCERIDES,2001,1
197,Survival/Time-to-Event,RELAPSE-FREE SURVIVAL,2001,2
200,Survival/Time-to-Event,OVERALL SURVIVAL RATE,2001,1
201,Response Rates,PATHOLOGIC COMPLETE RESPONSE,2001,1
202,Quality of Life/PRO,TREATMENT SATISFACTION,2001,1
203,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,2001,1
206,Adverse Events/Safety,NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,2001,1
207,Symptoms/Pain,VAS PAIN SCORE,2001,1
208,Quality of Life/PRO,CHANGE IN EQ-5D VAS SCORE,2001,1
214,Mental Health Outcomes,CHANGE FROM BASELINE IN CGI-S SCORE,2001,1
219,Pharmacokinetics,ELIMINATION RATE CONSTANT,2001,1
222,Symptoms/Pain,NAUSEA,2001,1
226,Mortality,TREATMENT-RELATED MORTALITY,2001,2
227,Survival/Time-to-Event,RECURRENCE-FREE SURVIVAL,2001,1
