selection_reason,rank_within_reason,nct_id,aact_condition_name,disease_domain,aact_outcome_title,outcome_normalized,outcome_category,word_count,semantic_pattern,n_normalized_values_for_trial_title,n_category_values_for_trial_title,n_disease_domains_for_trial_title,n_distinct_titles_per_normalized_concept,why_potentially_difficult,formal_validation_status
other_clinical_endpoint,2,NCT03544138,Ear Infection,Disorder of ear,Percentage of Participants With Successful Completion of Procedure In-office,PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,Other Clinical Endpoints,9,object+measurement_operator+participant_population,1,1,1,196,"Mapped to the residual category, a useful coverage-review stratum.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
other_clinical_endpoint,3,NCT02233530,Dementia,Neurological disorder,Adapted Alzheimer's Disease Assessment Scale - Cognitive (ADAS-Cog),CHANGE IN ADAS-COG SCORE,Other Clinical Endpoints,8,object+instrument_or_scale,1,1,1,135,"Mapped to the residual category, a useful coverage-review stratum.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
other_clinical_endpoint,4,NCT02682420,Chronic Kidney Disease,Disorder of the genitourinary system,Number of Participants With Procedural Success at the Index Procedure,PROCEDURAL SUCCESS,Other Clinical Endpoints,10,object+temporal_expression+measurement_operator+instrument_or_scale+participant_population,1,1,1,33,"Mapped to the residual category, a useful coverage-review stratum.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
other_clinical_endpoint,5,NCT05399680,Peripheral Arterial Disease,Cardiovascular disease,Procedural Success of Using the SABERX RADIANZ™ PTA Balloon Catheter,PROCEDURAL SUCCESS,Other Clinical Endpoints,10,object_only,1,1,1,33,"Mapped to the residual category, a useful coverage-review stratum.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
other_clinical_endpoint,6,NCT02379923,Coronary Artery Chronic Total Occlusion,Cardiovascular disease,Procedural Success (Evaluated According to Crossing Technique),PROCEDURAL SUCCESS,Other Clinical Endpoints,7,object_only,1,1,1,33,"Mapped to the residual category, a useful coverage-review stratum.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
other_clinical_endpoint,7,NCT02347189,Dysfunctional RVOT Conduits in Patients With Congenital Heart Defects,Disorder of eye,Number of Subjects With Procedural Success,PROCEDURAL SUCCESS,Other Clinical Endpoints,6,object+measurement_operator+participant_population,1,1,1,33,"Mapped to the residual category, a useful coverage-review stratum.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
other_clinical_endpoint,8,NCT01334866,Arteriosclerosis of Coronary Artery Bypass Graft,Cardiovascular disease,Procedural Success in a MICS Approach,PROCEDURAL SUCCESS,Other Clinical Endpoints,6,object_only,1,1,1,33,"Mapped to the residual category, a useful coverage-review stratum.",DESCRIPTIVE ONLY - no gold label or model prediction in locked source
many_to_one_lexical_collapse,1,NCT02108652,Bladder Cancer,Neoplastic disease,Percentage of Participants With a Confirmed Objective Response of Complete Response (CR) or Partial Response (PR) as Assessed by the Independent Review Facility (IRF) According to Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1),OBJECTIVE RESPONSE RATE,Response Rates,38,object+temporal_expression+measurement_operator+participant_population,1,1,1,3840,Normalized concept absorbs at least 20 distinct raw title strings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
many_to_one_lexical_collapse,2,NCT05237206,Oncology,Procedure,Solid Tumours Cohort: To Assess the Efficacy of SUPLEXA in Subjects With Malignant Solid Tumour as Assessed by the Investigator Based on Response Evaluation Criteria in Solid Tumours (RECIST) v1.1 or by Changes in Tumour-derived Blood Biomarkers.,OBJECTIVE RESPONSE RATE,Response Rates,38,object+temporal_expression+participant_population,1,1,1,3840,Normalized concept absorbs at least 20 distinct raw title strings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
many_to_one_lexical_collapse,3,NCT02257684,Acute Lymphoblastic Leukemia,Neoplastic disease,The Response Rate in Children & Young Adults With ALL/LBL and Hypersensitivity to Pegaspargase Defined as the Proportion of Subjects Having a Serum Asparaginase Activity (SAA) Level of >= 0.1 IU/mL Following the First IV Dose in Course 1,OBJECTIVE RESPONSE RATE,Response Rates,38,object+measurement_operator+explicit_unit+participant_population,1,1,1,3840,Normalized concept absorbs at least 20 distinct raw title strings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
many_to_one_lexical_collapse,4,NCT02259114,CRPC,Neoplastic disease,Best Overall Response as Assessed in Solid Tumors by Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1) or in Castration-resistant Prostate Cancer (CRPC) by Prostate Cancer Clinical Trials Working Group (PCWG2) Response Criteria,OBJECTIVE RESPONSE RATE,Response Rates,37,object+temporal_expression,1,1,1,3840,Normalized concept absorbs at least 20 distinct raw title strings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
many_to_one_lexical_collapse,5,NCT01989598,Recurrent Plasma Cell Myeloma,Neoplastic disease,"ORR Evidenced by Confirmed Response Rate, Defined as Number of Patients With Partial Response or Better by International Myeloma Working Group (IMWG) Criteria Divided by the Number of Patients in the Applicable Group (Biomarker Positive or Negative)",OBJECTIVE RESPONSE RATE,Response Rates,37,object+temporal_expression+measurement_operator+participant_population,1,1,1,3840,Normalized concept absorbs at least 20 distinct raw title strings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
many_to_one_lexical_collapse,6,NCT00719212,Ovarian Neoplasms,Neoplastic disease,Objective Response Rate (ORR) Investigator Assessment: % of Patients in the Group Who Achieve a Complete Response(CR) or Partial Response(PR) According to RECIST Criteria and GCIG CA125 Response Criteria. - Assessments of the Response by the Investigators,OBJECTIVE RESPONSE RATE,Response Rates,37,object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit+participant_population,1,1,1,3840,Normalized concept absorbs at least 20 distinct raw title strings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
many_to_one_lexical_collapse,7,NCT03262779,"Carcinoma, Non-Small-Cell Lung",Neoplastic disease,Objective Response Rate Using RECIST v1.1 to Nivolumab and Ipilimumab When Administered in Combination to Patients With Pre-treated Advanced NSCLC Who Have Experienced Primary Resistance to Anti-PD-1 Axis Therapy as Their Last Line of Systemic Therapy.,OBJECTIVE RESPONSE RATE,Response Rates,37,object+measurement_operator+participant_population,1,1,1,3840,Normalized concept absorbs at least 20 distinct raw title strings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
many_to_one_lexical_collapse,8,NCT04200456,Primary Immune Thrombocytopenia,Blood disease,"Percentage of Participants With Response Defined as Platelet Count ≥30*10^9/L and at Least Doubling of Baseline, at Least 2 Separate Occasions at Two Adjacent Nominal Visits at Least 7 Days Apart, and Absence of Bleeding",OBJECTIVE RESPONSE RATE,Response Rates,37,object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,1,1,1,3840,Normalized concept absorbs at least 20 distinct raw title strings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
context_sensitive_mapping,1,NCT02454959,COPD,Respiratory disease,Tmax on Day 8,TIME TO MAXIMUM CONCENTRATION,Pharmacokinetics,4,object+temporal_expression+explicit_unit,2,1,1,2254,The same trial-title record has more than one normalized value or category across source rows.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
context_sensitive_mapping,2,NCT00714259,CLL / SLL,Neoplastic disease,Progressive Free Survival Post Transplant,PROGRESSION-FREE SURVIVAL,Survival/Time-to-Event,5,object_only,2,1,1,2248,The same trial-title record has more than one normalized value or category across source rows.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
context_sensitive_mapping,3,NCT00829010,"Infections, Streptococcal",Infection,"Number of Subjects With Any, Severe (Grade 3) and Related Solicited General Adverse Events (AEs).",NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,Adverse Events/Safety,15,object+measurement_operator+participant_population,2,1,1,2199,The same trial-title record has more than one normalized value or category across source rows.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
context_sensitive_mapping,4,NCT00985088,Influenza,Infection,Number of Subjects With Any Unsolicited Adverse Events (AEs),NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,Adverse Events/Safety,9,object+measurement_operator+participant_population,2,1,1,2199,The same trial-title record has more than one normalized value or category across source rows.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
context_sensitive_mapping,5,NCT01142661,Breast Cancer,Neoplastic disease,Safety,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,Adverse Events/Safety,1,object_only,2,1,1,2199,The same trial-title record has more than one normalized value or category across source rows.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
context_sensitive_mapping,6,NCT00723190,Attention Deficit Hyperactivity Disorder,Mental illness,Safety Assessment in Terms of Adverse Events (Treatment-emergent [TEAEs] and Serious [SAEs]),NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Adverse Events/Safety,12,object+instrument_or_scale,2,1,1,1729,The same trial-title record has more than one normalized value or category across source rows.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
context_sensitive_mapping,7,NCT01124006,Degenerative Disc Disease,Musculoskeletal disorder,Treatment Emergent Adverse Events- Relationship to Study Drug,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Adverse Events/Safety,8,object_only,2,1,1,1729,The same trial-title record has more than one normalized value or category across source rows.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
context_sensitive_mapping,8,NCT01182337,Early Lumbar Disc Degeneration,Musculoskeletal disorder,Treatment Emergent Adverse Events- Relationship to Study Drug,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Adverse Events/Safety,8,object_only,2,1,1,1729,The same trial-title record has more than one normalized value or category across source rows.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
multi_domain_endpoint,1,NCT03377556,ATM Gene Mutation,Congenital disease,Overall Response Rate Assessed by Response Evaluation Criteria in Solid Tumors 1.1 in HRRD-positive (MDVN) Participants,OBJECTIVE RESPONSE RATE,Response Rates,17,object+temporal_expression+measurement_operator+participant_population,1,1,5,3840,The endpoint record is linked to at least four disease domains through trial condition mappings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
multi_domain_endpoint,2,NCT03272633,Acute Lymphoblastic Leukemia,Neoplastic disease,Number of Participants Who Received Irradiated Haploidentical Cells (IHC) With Disease Response,OBJECTIVE RESPONSE RATE,Response Rates,12,object+measurement_operator+participant_population,1,1,5,3840,The endpoint record is linked to at least four disease domains through trial condition mappings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
multi_domain_endpoint,3,NCT03814005,"Leukemia, Myeloid, Acute",Neoplastic disease,Part B: Percentage of HR MDS and AML Participants With Overall Response,OBJECTIVE RESPONSE RATE,Response Rates,12,object+measurement_operator+participant_population,1,1,4,3840,The endpoint record is linked to at least four disease domains through trial condition mappings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
multi_domain_endpoint,4,NCT02468193,AIMAH,Respiratory disease,"Percentage of Participants With mUFC Response of Complete, Partial, and Overall Response",OBJECTIVE RESPONSE RATE,Response Rates,12,object+measurement_operator+participant_population,1,1,4,3840,The endpoint record is linked to at least four disease domains through trial condition mappings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
multi_domain_endpoint,5,NCT03522246,Complete Response,Disorder of body system,Monotherapy Arm B and Arm D: Objective Response Rate (ORR),OBJECTIVE RESPONSE RATE,Response Rates,10,object+measurement_operator,1,1,5,3840,The endpoint record is linked to at least four disease domains through trial condition mappings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
multi_domain_endpoint,6,NCT03303950,ASXL1 Gene Mutation,Neoplastic disease,Number of Participants With Different Clinical Responses,OBJECTIVE RESPONSE RATE,Response Rates,7,object+measurement_operator+participant_population,1,1,4,3840,The endpoint record is linked to at least four disease domains through trial condition mappings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
multi_domain_endpoint,7,NCT02871219,Ann Arbor Stage II Grade 1 Follicular Lymphoma,Neoplastic disease,Overall Response Rate (CR + Partial Response [PR]),OBJECTIVE RESPONSE RATE,Response Rates,7,object+measurement_operator,1,1,5,3840,The endpoint record is linked to at least four disease domains through trial condition mappings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
multi_domain_endpoint,8,NCT04985604,BRAF Fusion,Neoplastic disease,Overall Response Rate (ORR) by the Investigator,OBJECTIVE RESPONSE RATE,Response Rates,7,object+temporal_expression+measurement_operator,1,1,5,3840,The endpoint record is linked to at least four disease domains through trial condition mappings.,DESCRIPTIVE ONLY - no gold label or model prediction in locked source
