term,prompt,EXPLANATION,GROUP
pain intensity,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: pain intensity

Similar terms for context:
pain intensity (1.00), intensity of pain (1.00), pain intensities (0.99), pain intensity level (0.98), pain severity (0.97)

Standardized groups:
QOL (0.37), Concentration (0.35), Maximum Concentration (0.34), Plasma Concentration (0.30), Serious Adverse Events (SAEs) (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures severity of pain.,Pain
safety,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: safety

Similar terms for context:
safety (1.00), safety measure (0.94), safety measures (0.94), safety concern (0.94), safety-incidence (0.93)

Standardized groups:
QOL (0.36), Serious Adverse Events (SAEs) (0.32), Adverse Events (AEs) (0.28), Overall Survival (OS) (0.28), Progression-free Survival (PFS) (0.27)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","General measure of overall safety, not otherwise categorized.",Safety
progression-free survival,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: progression-free survival

Similar terms for context:
progression-free survival (1.00), progression-free-survival (1.00), progression free survival (0.99), progression free-survival (0.99), progression-free survival status (0.97)

Standardized groups:
Progression-free Survival (PFS) (0.55), Overall Survival (OS) (0.44), Time to Progression (TTP) (0.37), QOL (0.36), Overall/Objective Response Rate (ORR/OR) (0.26)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Matches existing standardized group.,Progression-Free Survival (PFS)
participants,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: participants

Similar terms for context:
participants (1.00), afebrile participants (0.95), participant (0.94), ra participants (0.94), overall participants (0.93)

Standardized groups:
QOL (0.31), Event Occurrence (0.28), Time to Progression (TTP) (0.26), Concentration (0.26), Overall/Objective Response Rate (ORR/OR) (0.26)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Counting or referencing study participants.,NAO
pharmacokinetics,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: pharmacokinetics

Similar terms for context:
pharmacokinetics (1.00), pharmakokinetics (1.00), pharmacokinetic (0.99), pharmacokinetic/pharmacodynamic (0.97), pharmacokinetics (pk) (0.96)

Standardized groups:
Plasma Concentration (0.38), QOL (0.36), Concentration (0.36), Maximum Concentration (0.35), Time to Progression (TTP) (0.34)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]","Refers to drug absorption, distribution, metabolism, excretion.",Pharmacokinetics
pain score,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: pain score

Similar terms for context:
pain score (1.00), pain scores (0.99), pain scale score (0.99), pain score rating (0.98), pain rating scale score (0.98)

Standardized groups:
QOL (0.39), Progression-free Survival (PFS) (0.30), Time to Progression (TTP) (0.30), Overall/Objective Response Rate (ORR/OR) (0.29), Overall Survival (OS) (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Another measure of pain severity.,Pain
number of participants,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: number of participants

Similar terms for context:
number of participants (1.00), numbers of participants (1.00), number of participant (0.99), number of participants involved (0.98), count of participants (0.98)

Standardized groups:
Event Occurrence (0.28), QOL (0.28), Overall/Objective Response Rate (ORR/OR) (0.27), Concentration (0.26), Maximum Concentration (0.26)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Counting participants.,NAO
glucose,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: glucose

Similar terms for context:
glucose (1.00), glycemia (glucose) (0.95), glucose concentration (0.94), glucose infused (0.94), blood glucose (0.94)

Standardized groups:
Concentration (0.34), Plasma Concentration (0.33), QOL (0.32), Maximum Concentration (0.32), Time to Progression (TTP) (0.27)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures glucose levels.,Glucose
heart rate,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: heart rate

Similar terms for context:
heart rate (1.00), heartrate (0.99), heart rates (0.99), heart rate parameter (0.95), pulse rate (0.95)

Standardized groups:
Systolic Blood Pressure (0.39), Time to Progression (TTP) (0.34), Forced Expiratory Volume in One Second (FEV1) (0.34), Overall/Objective Response Rate (ORR/OR) (0.33), QOL (0.33)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Refers to measuring heart rate.,Heart Rate
clinical response,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: clinical response

Similar terms for context:
clinical response (1.00), clinical responses (0.99), clinically relevant response (0.95), patient clinical response (0.95), clinical response outcome (0.95)

Standardized groups:
Overall/Objective Response Rate (ORR/OR) (0.37), QOL (0.36), Adverse Events (AEs) (0.31), Time to Progression (TTP) (0.29), Progression-free Survival (PFS) (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Broad measure of improvement or response to treatment.,Clinical Response
serious adverse events,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: serious adverse events

Similar terms for context:
serious adverse events (1.00), serious adverse event(s) (0.99), serious adverse event (0.98), severe adverse events (0.98), serious adverse clinical events (0.97)

Standardized groups:
Serious Adverse Events (SAEs) (0.59), Adverse Events (AEs) (0.53), Event Occurrence (0.41), Pain (0.32), Clinical Response (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Matches an existing standardized group for severe events.,Serious Adverse Events (SAEs)
diastolic blood pressure,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: diastolic blood pressure

Similar terms for context:
diastolic blood pressure (1.00), diastolic blood pressures (1.00), blood pressure - diastolic (0.99), blood pressure (diastolic) (0.99), diastolic bp (0.99)

Standardized groups:
Systolic Blood Pressure (0.56), Heart Rate (0.37), Plasma Concentration (0.34), Forced Expiratory Volume in One Second (FEV1) (0.33), QOL (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures diastolic blood pressure.,Blood Pressure
tolerability,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: tolerability

Similar terms for context:
tolerability (1.00), tolerance (0.97), ability to tolerate (0.96), tolerability level (0.95), tolerating (0.93)

Standardized groups:
QOL (0.43), Pain (0.33), Concentration (0.32), Overall Survival (OS) (0.31), Time to Progression (TTP) (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",How well a patient tolerates a treatment.,Tolerability
survival,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: survival

Similar terms for context:
survival (1.00), surviving (0.97), survivorship (0.97), subject survival (0.95), survives (0.93)

Standardized groups:
Overall Survival (OS) (0.44), QOL (0.38), Progression-free Survival (PFS) (0.38), Pain (0.30), Time to Progression (TTP) (0.28)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",General survival metric aligns with overall survival.,Overall Survival (OS)
efficacy,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: efficacy

Similar terms for context:
efficacy (1.00), effectiveness (0.98), efficacy rate (0.94), efficacy outcome (0.93), efficacy measures (0.93)

Standardized groups:
QOL (0.39), Concentration (0.33), Maximum Concentration (0.32), Clinical Response (0.32), Overall/Objective Response Rate (ORR/OR) (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures how effective a treatment is.,Efficacy
death,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: death

Similar terms for context:
death (1.00), deaths (0.95), occurrence of death (0.94), death event (0.93), event of death (0.93)

Standardized groups:
Pain (0.35), QOL (0.34), Overall Survival (OS) (0.32), Participants (0.28), Adverse Events (AEs) (0.27)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Outcome measure focusing on mortality.,Mortality
improvement,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: improvement

Similar terms for context:
improvement (1.00), amelioration (0.95), das improvement (0.95), improved (0.95), worc improvement (0.94)

Standardized groups:
QOL (0.38), Time to Progression (TTP) (0.34), Progression-free Survival (PFS) (0.30), Concentration (0.29), Pain (0.28)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures any positive change in condition.,Improvement
seizure frequency,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: seizure frequency

Similar terms for context:
seizure frequency (1.00), seizures frequency (0.99), frequency of seizures (0.99), seizure frequencies (0.99), frequency of epileptic seizure (0.96)

Standardized groups:
Event Occurrence (0.32), Serious Adverse Events (SAEs) (0.31), Adverse Events (AEs) (0.30), Time to Progression (TTP) (0.29), Concentration (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Counts how often seizures occur.,Seizure Frequency
symptoms,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: symptoms

Similar terms for context:
symptoms (1.00), signs/symptoms (0.96), signs or symptoms (0.96), signs and symptoms (0.96), symptom (0.96)

Standardized groups:
Pain (0.37), Adverse Events (AEs) (0.33), QOL (0.33), Serious Adverse Events (SAEs) (0.31), Clinical Response (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",General category for signs and symptoms.,Symptoms
fev1,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: fev1

Similar terms for context:
fev1 (1.00), fev-1 (0.98), trough fev1 (0.97), fev 1 (0.97), fev1/fvc (0.97)

Standardized groups:
Forced Expiratory Volume in One Second (FEV1) (0.59), QOL (0.36), Progression-free Survival (PFS) (0.32), Clinical Response (0.29), Time to Progression (TTP) (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Matches existing standardized measure of lung function.,Forced Expiratory Volume in One Second (FEV1)
qtci,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: qtci

Similar terms for context:
qtci (1.00), qtc (0.97), qtcn (0.95), qtcf (0.95), qtcb (0.95)

Standardized groups:
QOL (0.47), Time to Progression (TTP) (0.35), Tolerability (0.28), Progression-free Survival (PFS) (0.27), Clinical Response (0.27)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",A specific corrected QT interval measure.,ECG measurement
body weight,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: body weight

Similar terms for context:
body weight (1.00), bodyweight (0.97), subject body weight (0.97), body mass (0.97), weight (0.95)

Standardized groups:
QOL (0.35), Forced Expiratory Volume in One Second (FEV1) (0.32), Pharmacokinetics (0.31), Pain (0.31), Concentration (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures a patient’s weight.,Body Weight
area under the curve,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: area under the curve

Similar terms for context:
area under the curve (1.00), area under curve (1.00), tewl area under the curve (0.96), area under the concentration curve (0.95), area under the effect curve (0.94)

Standardized groups:
QOL (0.31), Overall/Objective Response Rate (ORR/OR) (0.29), Overall Survival (OS) (0.29), Plasma Concentration (0.28), Concentration (0.28)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Pharmacokinetic exposure measure.,Concentration
response rate,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: response rate

Similar terms for context:
response rate (1.00), response rates (0.99), rate of response (0.98), response ratio (0.95), responder rate (0.94)

Standardized groups:
Overall/Objective Response Rate (ORR/OR) (0.47), Clinical Response (0.43), Heart Rate (0.32), QOL (0.31), Participants (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Proportion of patients who respond.,Overall/Objective Response Rate (ORR/OR)
hemoglobin,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: hemoglobin

Similar terms for context:
hemoglobin (1.00), haemoglobin (1.00), blood hemoglobin (0.98), hemoglobin (hgb) (0.97), hemoglobin (hb) (0.97)

Standardized groups:
Plasma Concentration (0.37), Diastolic Blood Pressure (0.33), QOL (0.33), Glucose (0.32), Systolic Blood Pressure (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measurement of hemoglobin levels.,Hemoglobin
antibody titers,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: antibody titers

Similar terms for context:
antibody titers (1.00), antibodies titers (1.00), antibodies titer (1.00), titers of antibodies (0.99), antibody titres (0.99)

Standardized groups:
Plasma Concentration (0.32), Concentration (0.31), Maximum Concentration (0.30), Time to Progression (TTP) (0.30), QOL (0.30)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures levels of antibodies.,Antibody Titers
serum concentration,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: serum concentration

Similar terms for context:
serum concentration (1.00), serum concentrations (0.99), serum concentration levels (0.97), serum chemistry concentration (0.96), serum/plasma concentration (0.96)

Standardized groups:
Plasma Concentration (0.49), Concentration (0.49), Maximum Concentration (0.44), Pharmacokinetics (0.36), QOL (0.31)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Concentration of substances in serum.,Concentration
overall survival,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: overall survival

Similar terms for context:
overall survival (1.00), overall-survival (1.00), overall survival rate (0.96), overall survival (os) (0.94), probability of overall survival (0.94)

Standardized groups:
Overall Survival (OS) (0.54), QOL (0.40), Progression-free Survival (PFS) (0.39), Tolerability (0.35), Overall/Objective Response Rate (ORR/OR) (0.33)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Standard survival measure already defined.,Overall Survival (OS)
blood pressure,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: blood pressure

Similar terms for context:
blood pressure (1.00), blood pressures (0.99), blood pressure (systolic) (0.95), blood pressure measurement (0.95), blood pressure - systolic (0.95)

Standardized groups:
Systolic Blood Pressure (0.60), Diastolic Blood Pressure (0.57), Heart Rate (0.40), Plasma Concentration (0.38), QOL (0.35)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",General measure of blood pressure.,Blood Pressure
platelet count,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: platelet count

Similar terms for context:
platelet count (1.00), platelet counts (0.99), platelets counts (0.99), mean platelet count (0.94), platelets measurement (0.93)

Standardized groups:
Plasma Concentration (0.41), Concentration (0.30), Progression-free Survival (PFS) (0.29), QOL (0.29), Pharmacokinetics (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Measures the number of platelets.,Platelet Count
hsba titers,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: hsba titers

Similar terms for context:
hsba titers (1.00), hsba titer (0.99), ht-hsba titers (0.98), ht-hsba titer (0.98), hsba-meny titers (0.97)

Standardized groups:
QOL (0.31), Time to Progression (TTP) (0.31), Plasma Concentration (0.29), Maximum Concentration (0.29), Progression-free Survival (PFS) (0.29)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",Another form of antibody titer measurement.,Antibody Titers
clinical remission,"Task: Categorize the following clinical trial outcome measure into one of the standardized groups listed below or create a new one if none are suitable. If creating a new group, just write the simplest group name possible that capture all information about the outcome (e.g., GROUP: Concentration).

Main term: clinical remission

Similar terms for context:
clinical remission (1.00), clinical disease remission (0.98), clinically relevant remission (0.95), clinical remission (cr) (0.95), clinical symptom remission (0.95)

Standardized groups:
Clinical Response (0.44), Progression-free Survival (PFS) (0.38), QOL (0.35), Overall Survival (OS) (0.32), Improvement (0.32)

Provide your answer in this format (the group name output should be the exact name of the group with no other text):
EXPLANATION: [brief explanation of why this group was chosen]
GROUP: [group name]",State where disease symptoms are minimal/absent.,Remission
